"id","user_id","task_id","application_id","last_updated_by","rel_act_ind","last_updated_dts"
"34","1","33","NULL","1","NULL","2020-06-04T05:44:29"
"35","1","34","NULL","1","NULL","2020-06-04T05:44:29"
"36","1","35","NULL","1","NULL","2020-06-04T05:44:29"
"37","1","36","NULL","1","NULL","2020-06-04T05:44:29"
"38","1","37","NULL","1","NULL","2020-06-04T05:44:29"
"39","1","38","NULL","1","NULL","2020-06-04T05:44:29"
"40","1","39","NULL","1","NULL","2020-06-04T05:44:29"
"41","1","40","NULL","1","NULL","2020-06-04T05:44:29"
"42","1","41","NULL","1","NULL","2020-06-04T05:44:29"
"43","1","42","NULL","1","NULL","2020-06-04T05:44:29"
"44","1","43","NULL","1","NULL","2020-06-04T05:44:29"
"45","1","44","NULL","1","NULL","2020-06-04T05:44:29"
"46","1","45","NULL","1","NULL","2020-06-04T05:44:29"
"47","1","46","NULL","1","NULL","2020-06-04T05:44:29"
"48","1","47","NULL","1","NULL","2020-06-04T05:44:29"
"49","1","48","NULL","1","NULL","2020-06-04T05:44:29"
"50","1","49","NULL","1","NULL","2020-06-04T05:44:29"
"51","1","50","NULL","1","NULL","2020-06-04T05:44:29"
"52","1","51","NULL","1","NULL","2020-06-04T05:44:29"
