"project_id","job_name","running_instance_id","job_instance_group_name","relation_name","job_sequence","description","tag2","tag3","uid"
"2","JobX1","JobX1_0","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX1","JobX1_1","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX1","JobX1_2","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX2","JobX2_1","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX2","JobX2_2","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX2","JobX2_3","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX3","JobX3_2","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX3","JobX3_3","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX3","JobX3_4","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX4","JobX4_4","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX4","JobX4_5","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX4","JobX4_6","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX5","JobX5_4","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX5","JobX5_5","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX5","JobX5_6","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX6","JobX6_10","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX6","JobX6_11","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JobX6","JobX6_12","Group1","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JbY1","JbY1_5","Group2","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JbY1","JbY1_6","Group2","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JbY1","JbY1_7","Group2","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JbY2","JbY2_6","Group2","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JbY2","JbY2_7","Group2","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JbY2","JbY2_8","Group2","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JbY3","JbY3_7","Group2","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JbY3","JbY3_8","Group2","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JbY3","JbY3_9","Group2","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JbY4","JbY4_8","Group2","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JbY4","JbY4_9","Group2","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"
"2","JbY4","JbY4_10","Group2","belongsTo","NULL","NULL","NULL","NULL","12349c78-454a-4167-9a1e-8e853a4cf2f5"



