created_by,created_date,deleted,description,job_id,json_content,lastmodifiedby,alias,lastmodifieddate,name,organization,type,version,tags,interfacetype,pipeline_metadata,is_template,is_app
"demouser","2025-05-26 11:21:39.428000",0,,NULL,"{""elements"":[{""attributes"":{""filetype"":""Python3"",""files"":[""LEOSMPLL19634_leo1311.py""],""arguments"":[{""name"":""App"",""value"":""Sample Linear Gradio""}],""dataset"":[]}}]}",demouser,"Sample Gradio","2025-05-28 08:15:25",LEOSMPLL19634,leo1311,App,1,NULL,App,NULL,0,0
"demouser","2025-05-28 08:15:03.121000","0","","NULL","{""elements"":[{""attributes"":{""filetype"":""Python3"",""files"":[""LEOSMPL_87385_leo1311.py""],""arguments"":[{""name"":""App"",""value"":""Sample_streamlit""}],""dataset"":[]}}]}","demouser","Sample_streamlit","2025-05-28 08:15:03","LEOSMPL_87385","leo1311","App","0","NULL","App","NULL","0","0"
"demouser","2025-06-16 10:32:23.549000","0","","NULL","{""elements"":[{""attributes"":{""filetype"":""Python3"",""files"":[""LEORG_SC89080_leo1311.py""],""arguments"":[{""name"":""App"",""value"":""RAG_usecase_gradeio""}],""dataset"":[]}}]}","demouser","RAG_usecase_gradeio","2025-06-16 10:32:23","LEORG_SC89080","leo1311","App","1","NULL","App","NULL","0","0"
demouser,"2025-07-21 09:23:57.587000",0,,NULL,"{""elements"":[{""attributes"":{""filetype"":""Python3"",""files"":[""LEORGNGS41180_leo1311.py""],""arguments"":[],""dataset"":[],""usedSecrets"":[]}}],""environment"":[]}",demouser,"rag retrieval","2025-07-21 14:39:56",LEORGNGS41180,leo1311,NativeScript,4,NULL,pipeline,"{"3":{}}",0,0
"demouser","2025-07-21 09:05:05.414000","0","","NULL","{""elements"":[{""attributes"":{""filetype"":""Python3"",""files"":[""LEOCLSFC94725_leo1311.py""],""arguments"":[],""dataset"":[],""usedSecrets"":[]}}],""environment"":[]}","demouser","sample classification streamlit","2025-07-21 14:41:39","LEOCLSFC94725","leo1311","NativeScript","4","NULL","pipeline","{""3"":{}}","0","0"
"demouser","2025-07-21 09:01:44.820000","0","","NULL","{""elements"":[{""attributes"":{""filetype"":""Python3"",""files"":[""LEOCLSFC82847_leo1311.py""],""arguments"":[{""name"":""datasource"",""value"":""LEOMN-S310629"",""type"":""Datasource"",""alias"":""LEOMN-S310629"",""index"":""1""}],""dataset"":[],""usedSecrets"":[]}}],""environment"":[]}","demouser","sample classification infer","2025-07-21 14:41:29","LEOCLSFC82847","leo1311","NativeScript","2","NULL","pipeline","{""1"":{}}","0","0"
"demouser","2025-07-21 08:59:32.459000","0","","NULL","{""elements"":[{""attributes"":{""filetype"":""Python3"",""files"":[""LEOCLSFC96212_leo1311.py""],""arguments"":[{""name"":""dataset"",""value"":""LEOSMPL_14585"",""type"":""Dataset"",""alias"":""LEOSMPL_14585"",""index"":""1""}],""dataset"":[],""usedSecrets"":[]}}],""environment"":[]}","demouser","sample classification training","2025-07-21 14:41:19","LEOCLSFC96212","leo1311","NativeScript","2","NULL","pipeline","{""1"":{}}","0","0"
"demouser","2025-07-21 08:36:56.850000","0","","NULL","{""elements"":[{""attributes"":{""filetype"":""Python3"",""files"":[""LEOLNRST23278_leo1311.py""],""arguments"":[],""dataset"":[],""usedSecrets"":[]}}],""environment"":[]}","demouser","sample linear streamlit","2025-07-21 14:41:06","LEOLNRST23278","leo1311","NativeScript","4","NULL","pipeline","{""3"":{}}","0","0"
"demouser","2025-07-21 08:23:20.398000","0","","NULL","{""elements"":[{""attributes"":{""filetype"":""Python3"",""files"":[""LEOLNRNF78657_leo1311.py""],""arguments"":[{""name"":""datasource"",""value"":""LEOMN-S310629"",""type"":""Datasource"",""alias"":""LEOMN-S310629"",""index"":""1""}],""dataset"":[],""usedSecrets"":[]}}],""environment"":[]}","demouser","sample Linear infer","2025-07-21 14:40:52","LEOLNRNF78657","leo1311","NativeScript","7","NULL","pipeline","{""6"":{}}","0","0"
"demouser","2025-07-21 08:17:29.038000","0","","NULL","{""elements"":[{""attributes"":{""filetype"":""Python3"",""files"":[""LEOSMPLN39749_leo1311.py""],""arguments"":[{""name"":""dataset"",""value"":""LEOLNRRG50793"",""type"":""Dataset"",""alias"":""LEOLNRRG50793"",""index"":""1""}],""dataset"":[],""usedSecrets"":[]}}],""environment"":[]}","demouser","sample linear training","2025-07-21 08:19:43","LEOSMPLN39749","leo1311","NativeScript","4","NULL","pipeline","{""4"":{}}","0","0"
"demouser","2025-07-21 14:39:03.968000","0","","NULL","{""elements"":[{""attributes"":{""filetype"":""Python3"",""files"":[""LEORGNGS24627_leo1311.py""],""arguments"":[{""name"":""dataset"",""value"":""LEOTST_P68920"",""type"":""Dataset"",""alias"":""LEOTST_P68920"",""index"":""1""}],""dataset"":[],""usedSecrets"":[]}}],""environment"":[]}","demouser","Rag Ingestion","2025-07-22 06:47:58","LEORGNGS24627","leo1311","NativeScript","12","NULL","pipeline","{""12"":{}}","0","0"
