project_id,running_job_instance_id,break_count,complete_percent,description,end_time,failure_reason,group_name,incident_no,instance_extra1,instance_extra10,instance_extra11,instance_extra12,instance_extra13,instance_extra14,instance_extra15,instance_extra16,instance_extra17,instance_extra18,instance_extra19,instance_extra2,instance_extra20,instance_extra21,instance_extra22,instance_extra23,instance_extra24,instance_extra25,instance_extra26,instance_extra27,instance_extra28,instance_extra29,instance_extra3,instance_extra30,instance_extra4,instance_extra5,instance_extra6,instance_extra7,instance_extra8,instance_extra9,is_break,is_running,job_name,last_status_update,latest,link,mile,predicted_end_time,predicted_start_time,start_time,status,tag2,uid
2,JbY1_5,0,NULL,NULL,2020-04-05T12:51:00,NULL,Group2,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JbY1,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-04T11:51:01,Completed,NULL,Mr583FwismvfjdncvIUY8/==
2,JbY1_6,0,NULL,NULL,2020-04-05T12:51:00,NULL,Group2,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JbY1,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-05T11:51:01,Completed,NULL,BuiY78RXzndusc3vcjdv+6==
2,JbY1_7,0,NULL,NULL,2020-04-06T12:51:00,NULL,Group2,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JbY1,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-06T11:51:01,Completed,NULL,ArtI36Mqio8/78BI0qt9nZ==
2,JbY2_6,0,NULL,NULL,2020-04-06T12:51:00,NULL,Group2,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JbY2,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-05T11:51:01,Completed,NULL,E//56HIweruCCyiUtPo6By==
2,JbY2_7,0,NULL,NULL,2020-04-06T12:51:00,NULL,Group2,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JbY2,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-06T11:51:01,Cancelled,NULL,F46mdrQPB56/rwibcZMI4g==
2,JbY2_8,0,NULL,NULL,2020-04-07T12:51:00,NULL,Group2,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JbY2,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-07T11:51:01,Completed,NULL,CU985vcvUGc4jyu75CxsOl==
2,JbY3_7,0,NULL,NULL,2020-04-08T12:51:00,NULL,Group2,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JbY3,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-08T11:51:01,Running,NULL,KiNg45+iFwmocBv73Mp07G==
2,JbY3_8,0,NULL,NULL,2020-04-07T12:51:00,NULL,Group2,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JbY3,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-07T11:51:01,Running,NULL,Op+427/sfuWRNkXY587fZf==
2,JbY3_9,0,NULL,NULL,2020-04-09T12:51:00,NULL,Group2,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JbY3,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-09T11:51:01,Running,NULL,2cuIuLtihv79BFHGsrdf0+==
2,JbY4_8,0,NULL,NULL,2020-04-09T12:51:00,NULL,Group2,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JbY4,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-09T11:51:01,Completed,NULL,FmUv79BFHGsrdfcTchR5GV==
2,JbY4_9,0,NULL,NULL,2020-04-07T12:51:00,NULL,Group2,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JbY4,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-07T11:51:01,Completed,NULL,NRgdrhbcds459+frbdcydy==
2,JbY4_10,0,NULL,NULL,2020-04-10T12:51:00,NULL,Group2,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JbY4,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-10T11:51:01,Completed,NULL,UcuvALMikp6SBolnsrdf05==
2,JobX1_0,0,NULL,NULL,2020-03-30T12:51:00,NULL,Group1,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JobX1,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-03-30T11:51:01,Completed,NULL,GFRhfyudrsWgvy6d547bdt==
2,JobX1_1,0,NULL,NULL,2020-03-31T12:51:00,NULL,Group1,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JobX1,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-03-31T11:51:01,Completed,NULL,43bBDfdteXBTDfyQEbrrYt==
2,JobX1_2,0,NULL,NULL,2020-03-31T13:51:00,NULL,Group1,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JobX1,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-03-31T12:51:01,Completed,NULL,lo8ctvtffth76780+f6r/g==
2,JobX2_1,0,NULL,NULL,2020-04-01T10:51:00,NULL,Group1,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JobX2,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-01T09:51:01,Completed,NULL,Ahdvr6BFSEMR26whraggfQ==
2,JobX2_2,0,NULL,NULL,2020-04-01T12:51:00,NULL,Group1,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JobX2,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-01T11:51:01,Completed,NULL,MeJu5u2DV0WbfjQ9N3d5p7==
2,JobX2_3,0,NULL,NULL,2020-04-02T12:51:00,NULL,Group1,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JobX2,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-02T11:51:01,Completed,NULL,LcuIucWL3BrjBF7bsrdf0+==
2,JobX3_2,0,NULL,NULL,2020-04-03T12:51:00,NULL,Group1,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JobX3,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-03T11:51:01,Running,NULL,0JmlZLtihcHoC5ydVrdf0/==
2,JobX3_3,0,NULL,NULL,2020-04-02T12:51:00,NULL,Group1,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JobX3,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-02T11:51:01,Running,NULL,Cy7Mo0tihvYvB8fA0tvQxn==
2,JobX3_4,0,NULL,NULL,2020-04-04T12:51:00,NULL,Group1,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JobX3,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-04T11:51:01,Running,NULL,V9Kor7XheckjysfgdyVi7v==
2,JobX4_4,0,NULL,NULL,2020-04-07T12:51:00,NULL,Group1,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JobX4,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-07T11:51:01,Completed,NULL,TcdsTNXrvr76miWn4VXopy==
2,JobX4_5,0,NULL,NULL,2020-04-06T08:51:00,NULL,Group1,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JobX4,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-06T07:51:01,Cancelled,NULL,td+/rybfjROfsniyrmoDYx==
2,JobX4_6,0,NULL,NULL,2020-04-08T12:51:00,NULL,Group1,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JobX4,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-08T11:51:01,Cancelled,NULL,8GbINdunft03nctQUmdop7==
2,JobX5_4,0,NULL,NULL,2020-04-05T12:51:00,NULL,Group1,NULL,IE1,IE10,IE11,IE12,IE13,IE14,IE15,IE16,IE17,IE18,IE19,IE2,IE20,IE21,IE22,IE23,IE24,IE25,IE26,IE27,IE28,IE29,IE3,IE30,IE4,IE5,IE6,IE7,IE8,IE9,N,Yes,JobX5,2023-04-19T11:39:46,N,NULL,NULL,NULL,NULL,2020-04-05T11:51:01,Yet To Start,NULL,JuVaSAN73LqpB9ctv5N8tl==
